image_id,file_name,split,scenario_category,has_saliency_png,has_fixation_mat,ground_truth_caps,primary_gt_caption,n_gt_captions,blip_caption,blip2_caption,ofa_caption,vit_gpt2_caption,bleu4_blip,bleu4_blip2,bleu4_ofa,bleu4_vit_gpt2,cider_blip,meteor_blip,rougeL_blip,human_correct_blip,human_correct_blip2,human_correct_ofa,human_correct_vit_gpt2,error_type_blip,error_type_blip2,error_type_ofa,error_type_vit_gpt2,error_token_blip,error_token_blip2,error_token_ofa,error_token_vit_gpt2,js_div_mean_blip,kl_div_mean_blip,error_token_js_blip,other_tokens_js_blip,gt_caps_parsed,bleu1_blip,bleu2_blip,bleu3_blip,bleu4_conf_blip,bleu1_blip2,bleu2_blip2,bleu3_blip2,cider_blip2,meteor_blip2,rougeL_blip2,bleu4_conf_blip2,bleu1_vit_gpt2,bleu2_vit_gpt2,bleu3_vit_gpt2,cider_vit_gpt2,meteor_vit_gpt2,rougeL_vit_gpt2,bleu4_conf_vit_gpt2,annotator_1_blip,annotator_2_blip,annotator_3_blip,annotator_1_blip2,annotator_2_blip2,annotator_3_blip2,annotator_1_vit_gpt2,annotator_2_vit_gpt2,annotator_3_vit_gpt2
21639,COCO_val2014_000000021639.jpg,val,general_baseline,True,True,"['A rainbow cake with white frosting and a slice cut out.', ""A slice of cake that's colored like the rainbow is missing a piece."", 'A rainbow colored cake has one slice slid out of it.', 'A rainbow birthday cake sitting on a decorative table cloth. ', 'a nice cake with many colors put on it']",A rainbow cake with white frosting and a slice cut out.,5,there is a cake with a slice taken out of it on a table,a cake that has been cut in half,[OFA_UNAVAILABLE],a cake on a table with candles on it,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1
66717,COCO_val2014_000000066717.jpg,val,gender_ambiguity,True,True,"['A man is standing in a train in a train station.', 'a person standing in a train near the doors ', 'A group of people riding a white and blue train.', 'A man stands near the open train entrance. ', 'A bus with its doors open and passengers standing inside.']",A man is standing in a train in a train station.,5,there is a man that is standing at the door of a train,a man is getting off of a train,[OFA_UNAVAILABLE],a man standing next to a train at a train station,,,,,,,,0,1,,1,object_misidentification,correct,,correct,that,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,0
427113,COCO_val2014_000000427113.jpg,val,object_confusion,True,True,"['A couple of older men sitting on top of a bench.', 'Two old men with glasses seated on armchairs ', 'Two older men sit on an outdoor bench.', 'Two old men sitting side by side conversing.', 'A couple of men sitting on a wooden bench.']",A couple of older men sitting on top of a bench.,5,there are two men sitting on a bench talking to each other,two men sitting on a bench,[OFA_UNAVAILABLE],a man and a woman sitting on a bench,,,,,,,,1,0,,0,correct,relation_mismatch,,object_misidentification,,bench,,woman,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
3742,COCO_val2014_000000003742.jpg,val,gender_ambiguity,True,True,"['Apple in and over-flowing a bowl on a windowsill with a rose in a vase.', 'A white vase with a fully opened red rose stands next to an overflowing bowl of apples next to a mirror on a window ledge. ', 'A bowl full of apples sitting next to a vase and a mirror.', 'A still-life with a bowl of apples, a mirror, and a red rose in a vase.', 'A vase with flower and apples on the table']",Apple in and over-flowing a bowl on a windowsill with a rose in a vase.,5,there is a bowl of apples and apples in front of a window,a bowl of apples and a rose on a window sill,[OFA_UNAVAILABLE],a bowl of apples sitting on a window sill,,,,,,,,0,1,,1,attribute_mismatch,correct,,correct,bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,0,1
10216,COCO_val2014_000000010216.jpg,val,gender_ambiguity,True,True,"['A woman serving the tennis ball on the court', 'A tennis player who is leaping to hit the ball during a match.', 'A girl is swinging her tennis racquet at at the ball.', 'Woman playing tennis at a large tennis match.', 'A tennis player is jumping up to hit the ball.']",A woman serving the tennis ball on the court,5,there is a woman that is playing tennis on the court,a woman holding a tennis racquet on a tennis court,[OFA_UNAVAILABLE],a woman swinging a tennis racquet on a tennis court,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
240501,COCO_val2014_000000240501.jpg,val,gender_ambiguity,True,True,"['A bathroom with a shower, toilet, and sink.', 'The bathroom contains a window, toilet, sink, and bathtub.', 'The view of a small bathroom from the door.', 'A bathroom with a pedestal sink, toilet and tub with shower.', 'Bathroom with pink walls and white toilet and sink']","A bathroom with a shower, toilet, and sink.",5,there is a white toilet sitting next to a white sink in a bathroom,"a bathroom with a toilet, sink, and bathtub",[OFA_UNAVAILABLE],a white toilet sitting next to a bath tub,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1
190185,COCO_val2014_000000190185.jpg,val,context_mismatch,True,True,"['A large sandwich filled with sausages on a tray.', 'A double layer hot dog sandwich with cheese ', 'The huge sandwich has two sausages and a side of hush puppies.', 'A large sandwich topped with an American flag.', 'A double decker hot dog with cheese on top.']",A large sandwich filled with sausages on a tray.,5,there is a sausage sandwich on a bun with pickles on the side,a hot dog on a bun,[OFA_UNAVAILABLE],a hamburger with a pickle on top of it,,,,,,,,0,0,,1,context_mismatch,object_hallucination,,correct,sausage,bun,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,1,1
556462,COCO_val2014_000000556462.jpg,val,gender_ambiguity,True,True,"['Panini and fries are are on a lunch platter are served with dressings.', 'A sandwich with toothpicks and french fries are on a plate.', 'A grilled sandwich and french fries on a white plate.', 'Closeup of a table with a plate of food that includes a sandwich and fries.', 'This person ordered some sandwich melts with fries on the side.']",Panini and fries are are on a lunch platter are served with dressings.,5,there is a sandwich and french fries on a plate on a table,a sandwich and french fries on a plate,[OFA_UNAVAILABLE],a sandwich and french fries on a white plate,,,,,,,,1,0,,0,correct,object_misidentification,,general_baseline,,plate,,white,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
394206,COCO_val2014_000000394206.jpg,val,gender_ambiguity,True,True,"['A group of people riding in the back of a truck.', 'The men and women was sitting in the back of the truck', 'A group of young men wearing sunglasses are crowded into the back of a truck.', 'A large group of men traveling on the back of a truck.', 'There are many people in the back of the truck.']",A group of people riding in the back of a truck.,5,there are a lot of people riding in the back of a truck,a group of people riding on the back of a truck,[OFA_UNAVAILABLE],people riding on the back of a truck,,,,,,,,1,0,,0,correct,general_baseline,,general_baseline,,people,,back,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
160860,COCO_val2014_000000160860.jpg,val,context_mismatch,True,True,"['A sliced cake on a dining table with a knife next to it', 'A half a cake sitting next to a large knife.', 'Cake that has had large chunk cut out of it', 'A chocolate cake next to a cutting knife.', 'Left over pieces of chocolate cake and a cutting knife.']",A sliced cake on a dining table with a knife next to it,5,there is a piece of chocolate cake on a doily plate with a knife,a piece of chocolate cake on a white plate,[OFA_UNAVAILABLE],a piece of chocolate cake on a cutting board,,,,,,,,0,1,,1,context_mismatch,correct,,correct,knife,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1
467887,COCO_val2014_000000467887.jpg,val,counting_errors,True,True,"['A man uses his computer while sitting at a desk. ', 'A man is using a computer in his dining room', 'A man working on his laptop computer at the table.', 'Man sitting at a dining room table working on his laptop computer. ', 'The man is using a mouse looking at the computer.']",A man uses his computer while sitting at a desk. ,5,there is a man that is sitting at a table with a laptop,a man sitting at a table using a laptop computer,[OFA_UNAVAILABLE],a man sitting in front of a laptop computer,,,,,,,,1,0,,0,correct,counting_errors,,general_baseline,,laptop,,sitting,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
520264,COCO_val2014_000000520264.jpg,val,context_mismatch,True,True,"['a man and woman standing side by side in a kitchen next to a window', 'A man and a woman are posing for a picture in a kitchen.', 'A man, his arm across the woman next to him, stands in a blandly colored kitchen area,  in front of a black-rimmed  window, next to a counter with a microwave, plates, with and without food, and wine bottles.  ', 'there is a man and a woman posing in a kitchen', 'A man and a woman stand next to each other in a kitchen.']",a man and woman standing side by side in a kitchen next to a window,5,there is a man and woman standing in a kitchen next to a microwave,a man and a woman standing in a kitchen,[OFA_UNAVAILABLE],a woman standing next to a man in a kitchen,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,1,1,1
185373,COCO_val2014_000000185373.jpg,val,object_confusion,True,True,"['A row of parked motorcycles sitting along side of a street.', 'A long row of motorcycles parked near the road.', 'A row of motorcycles parked on a side walk near a street.', 'a number of motorcycles parked on a side walk ', 'some motorcycles parked on a sidewalk by some cars ']",A row of parked motorcycles sitting along side of a street.,5,there are many motorcycles parked on the side of the street,a row of motorcycles parked on the side of the road,[OFA_UNAVAILABLE],motorcycles parked on the side of the street,,,,,,,,0,1,,1,object_misidentification,correct,,correct,street,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
174206,COCO_val2014_000000174206.jpg,val,gender_ambiguity,True,True,"['A sandwich and coffee placed upon a wooden table.', 'A plate with two pieces of sandwich ans a cup of coffee.', 'A grilled sandwich with a cappuccino cup on some plates.', 'A cup of coffee next to a plate with a sandwich. ', 'A SANDWICH ON A PLATE AND A CUP OF LATTE ']",A sandwich and coffee placed upon a wooden table.,5,there is a plate of food and a cup of coffee on a table,a plate with a sandwich on it and a cup of coffee,[OFA_UNAVAILABLE],a white plate topped with a sandwich and a cup of coffee,,,,,,,,0,1,,1,general_baseline,correct,,correct,there,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,0,1
547293,COCO_val2014_000000547293.jpg,val,context_mismatch,True,True,"['there is a airplane that is being boarded at the airport', 'An airplane sitting on the tarmac with several service trucks around it. ', 'A airplane that is sitting at a runway terminal.', 'An airplane on the ground at an airport with service vehicles parked nearby', 'A white jet airliner docked next to utility vehicles.']",there is a airplane that is being boarded at the airport,5,there is a plane that is sitting on the tarmac at the airport,an airplane parked on the tarmac at an airport,[OFA_UNAVAILABLE],airplanes parked on the tarmac at an airport,,,,,,,,1,1,,0,correct,correct,,relation_mismatch,,,,tarmac,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0
129832,COCO_val2014_000000129832.jpg,val,gender_ambiguity,True,True,"['A keyboard and computer monitor and a mouse.', 'a close up of a keyboard a mouse and a lamp', 'A computer, keyboard, and mouse sitting on a desk.', 'A computer sitting on top of a desk next to a light.', 'The computer and decor look futuristic in the photo.']",A keyboard and computer monitor and a mouse.,5,this is a picture of a computer desk with a keyboard and a monitor,"a computer monitor, keyboard and mouse on a desk",[OFA_UNAVAILABLE],a laptop computer sitting on top of a desk,,,,,,,,1,1,,0,correct,correct,,attribute_mismatch,,,,laptop,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,0,0
570548,COCO_val2014_000000570548.jpg,val,general_baseline,True,True,"['A lunchbox with a sandwich, yogurt and a banana.', 'A lunchbox has a banana, some yogurt, and a sandwich.', 'A lunhcbox with a sandwich, yogurt and banana.', 'a person holding open a black lunch box ', 'Someone is showing what they are having for lunch.']","A lunchbox with a sandwich, yogurt and a banana.",5,there is a person holding a container with a sandwich and a banana,a person holding a container of food,[OFA_UNAVAILABLE],a sandwich and a cup of coffee on a tray,,,,,,,,0,1,,1,general_baseline,correct,,correct,holding,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
262371,COCO_val2014_000000262371.jpg,val,counting_errors,True,True,"['A cat laying on top of a bag sitting on a floor.', 'A Tabby cat laying on top of a black backpack.', 'The orange and grey cat is lying down on a black backpack. ', 'stripped cat on top of a black suitcase', 'A cat that is laying down on a bag.']",A cat laying on top of a bag sitting on a floor.,5,there is a cat that is sitting on top of a bag,a cat sitting on top of a black bag,[OFA_UNAVAILABLE],a cat laying on top of a suitcase,,,,,,,,0,1,,1,object_misidentification,correct,,correct,bag,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,0,1
72657,COCO_val2014_000000072657.jpg,val,attribute_errors,True,True,"['A woman sitting on the couch playing wii with a dog sitting next to her.', 'A woman holding a remote with a dog sitting beside her on a couch.', 'a dog laying on a the couch next to a woman holding a wii mote ', 'A pretty young lady sitting on a couch next to a dog.', 'The dog is sleeping on the couch that is covered in a striped blanket.']",A woman sitting on the couch playing wii with a dog sitting next to her.,5,there is a woman that is sitting on a couch with a dog,a woman sitting on a couch with a dog,[OFA_UNAVAILABLE],a woman sitting on a couch with a dog,,,,,,,,0,1,,0,attribute_mismatch,correct,,attribute_mismatch,couch,,,dog,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0
152751,COCO_val2014_000000152751.jpg,val,attribute_errors,True,True,"['A computer desk with a green mat sitting on top of it.', 'A desk with some blue prints, an envelope and a coffee mug.', 'A desk with various office supplies adjacent to a window. ', 'A large desk by a window is neatly arranged.', 'A desk area with a window view with mugs, tablets, and books.']",A computer desk with a green mat sitting on top of it.,5,this is an image of a cluttered desk in a home office,a desk with lots of papers and a coffee mug on it,[OFA_UNAVAILABLE],a cluttered desk with a computer and papers on it,,,,,,,,0,0,,1,general_baseline,object_misidentification,,correct,home,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,1,1
180787,COCO_val2014_000000180787.jpg,val,context_mismatch,True,True,"['A picture of some people that are cooking some food.', 'some people wearing black and cooking food in a big kitchen', 'A kitchen scene with several people preparing food.', 'The kitchen of a large restaurant showing a carving station', 'A couple of chefs preparing food in a kitchen.']",A picture of some people that are cooking some food.,5,there are many people in the kitchen preparing food at the counter,a group of people working in a kitchen,[OFA_UNAVAILABLE],a man preparing food in a restaurant kitchen,,,,,,,,0,0,,1,context_mismatch,object_hallucination,,correct,kitchen,working,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
13490,COCO_val2014_000000013490.jpg,val,context_mismatch,True,True,"['A white plate topped with mint angel food cake.', 'A piece of sliced bread with a butter spread on it.', 'A homemade loaf of bread is baked and ready for peanut butter spread.', 'Green slices of bread with peanut butter on them. ', 'The makings on a peanut butter sandwich on green bread']",A white plate topped with mint angel food cake.,5,there is a loaf of bread on a cutting board with a knife next to it,slices of green bread on a cutting board,[OFA_UNAVAILABLE],a piece of bread on a cutting board next to a knife,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
400123,COCO_val2014_000000400123.jpg,val,object_confusion,True,True,"['Bathroom decorated in blues and greens with a mirror over the vanity.', 'A minimally cluttered bathroom view shows a white sink and toilet, mirror, towel ring, a blue wall and a shower space with a patterned but not colorful shower curtain. ', 'A clean bathroom is seen in this image.', 'A bathroom with a green hand towel and blue walls. ', 'A towel that is hanging near a mirror.']",Bathroom decorated in blues and greens with a mirror over the vanity.,5,there is a white toilet sitting next to a white sink in a bathroom,"a bathroom with a toilet, sink, and shower curtain",[OFA_UNAVAILABLE],"a bathroom with a toilet, sink, and shower curtain",,,,,,,,1,0,,1,correct,object_misidentification,,correct,,sink,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1
75612,COCO_val2014_000000075612.jpg,val,gender_ambiguity,True,True,"['Small group with hand held video controllers interacting with out of frame screen.', 'A crowd of people play with the Wii video game console.', 'Some people are playing a game and having some fun. ', 'A group of men standing around a room together.', 'a bunch of kids are standing in a room']",Small group with hand held video controllers interacting with out of frame screen.,5,there are many people standing in a room playing a video game,a group of people standing in a room,[OFA_UNAVAILABLE],a large group of people standing in a room,,,,,,,,0,0,,1,context_mismatch,object_misidentification,,correct,video,people,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
377195,COCO_val2014_000000377195.jpg,val,attribute_errors,True,True,"['A man is hitting a tennis ball with his tennis racket.', 'A man hitting a tennis ball with a racquet.', 'Professional tennis player serving the ball with extreme reach.', 'Player returning ball during volley at tennis match.', 'A man hitting a tennis ball on the tennis court ']",A man is hitting a tennis ball with his tennis racket.,5,there is a man that is playing tennis on the court,a man on a tennis court swinging a tennis racket,[OFA_UNAVAILABLE],a man on a court with a tennis racket,,,,,,,,0,1,,1,object_misidentification,correct,,correct,man,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
397268,COCO_val2014_000000397268.jpg,val,object_confusion,True,True,"['I am unable to see the image above.', 'Green accented store window with bicycles in the display area and a green bench out front.', 'Two bicycles are sitting in a window that is behind a park bench and two chairs.', 'A storefront that has bicycles in the window', 'A couple of bikes are in a shop window']",I am unable to see the image above.,5,there are two chairs and a bench in front of a store,a couple of chairs and a bike in front of a store,[OFA_UNAVAILABLE],a bike parked in front of a store window,,,,,,,,0,1,,0,object_hallucination,correct,,object_misidentification,there,,,store,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0
560756,COCO_val2014_000000560756.jpg,val,gender_ambiguity,True,True,"['White leather sofas with ottoman near lamps in orange living room.', 'A living room is filled with living furniture. ', 'A red living room decorated with with a white leather couch, love seat, chair and ottoman.', 'a white couch that is in a red room', 'a living room with couches and a lamp']",White leather sofas with ottoman near lamps in orange living room.,5,this is a living room with two white couches and a lamp,a living room with couches and a lamp,[OFA_UNAVAILABLE],a living room with two couches and a lamp,,,,,,,,0,1,,0,attribute_mismatch,correct,,attribute_mismatch,lamp,,,room,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0
543547,COCO_val2014_000000543547.jpg,val,object_confusion,True,True,"['A man walks beside an elephant as people ride by on the street. ', 'a guy walking an elephant on a city street with vehicles all around', 'A man walking his elephant down a busy city street', 'The man is walking with an elephant on a city street.', 'An elephant walks with his trainer through a busy intersection in a busy city.']",A man walks beside an elephant as people ride by on the street. ,5,there is an elephant that is walking down the street with people,a man walking an elephant down the street,[OFA_UNAVAILABLE],a man walking down the street with an elephant,,,,,,,,1,0,,1,correct,object_misidentification,,correct,,walking,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1
200451,COCO_val2014_000000200451.jpg,val,attribute_errors,True,True,"['A group of people standing on top of a sandy beach.', 'A picture of people on the beach flying kites. ', 'A crowd of people are flying kites with long tails on the beach.', 'A group of people standing on the beach flying kites', 'Several people flying colorful kites on a beach.']",A group of people standing on top of a sandy beach.,5,several people are flying kites on a beach near a body of water,a group of people on a beach flying kites,[OFA_UNAVAILABLE],people standing on a beach flying kites,,,,,,,,0,1,,1,attribute_mismatch,correct,,correct,beach,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,0
575051,COCO_val2014_000000575051.jpg,val,object_confusion,True,True,"['A baseball player is standing up to bat', 'A baseball player swinging a bat during a baseball game.', 'Baseball player in a grey uniform holding up a baseball bat at the plate. ', 'A baseball batter, catcher, and umpire get ready for the pitch.', 'A baseball player holding a bat during a game.']",A baseball player is standing up to bat,5,there is a baseball player holding a bat on a baseball field,a baseball player holding a bat on a field,[OFA_UNAVAILABLE],a baseball player holding a bat on top of a field,,,,,,,,0,0,,1,object_hallucination,object_misidentification,,correct,baseball,baseball,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
475906,COCO_val2014_000000475906.jpg,val,counting_errors,True,True,"['a living room filled with assorted baby and kids toys', 'A room filled with baby toys and gear.', 'A child plays in a living room filled with baby toys.', 'A living room with a couch, baby toys and a flat screen television. ', 'A living room with baby toys on the floor']",a living room filled with assorted baby and kids toys,5,this is an image of a living room with a baby in a stroller,a living room filled with toys and a television,[OFA_UNAVAILABLE],a living room filled with furniture and toys,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1
294451,COCO_val2014_000000294451.jpg,val,context_mismatch,True,True,"['A market area with various crates of vegetables.', 'A large display of fruits and vegetables are in a market.', 'there is a open market of fruits with prices', 'There are lots of fruits being sold at the stand. ', 'a bunch of fruit are piled together ']",A market area with various crates of vegetables.,5,there are many different types of fruits and vegetables on display,a large display of fruits and vegetables at a market,[OFA_UNAVAILABLE],a fruit stand with a variety of fruits and vegetables,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
