image_id,generated_caption,error_type,primary_error_token,notes
COCO_val2014_000000002124,"a white fence",1,"fence","No white fence visible; scene shows rodeo arena with trailer, truck, and crowd; object hallucination."
COCO_val2014_000000002153,"a baseball player swinging at a ball during a game",0,NA,"Baseball player actively swinging at a pitched ball during a game; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002154,"a shopping cart is sitting on the side of the road",0,NA,"Shopping cart visible on the roadside; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002179,"a man riding a skateboard down a ramp",0,NA,"Person riding a skateboard on a ramp; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002302,"a person riding a horse on a rocky trail",0,NA,"Person riding a horse along a rocky trail; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002346,"a wooden table",1,"table","Image shows small flower vases on a wooden surface; table not clearly established as main object; object misidentification/overgeneralization."
COCO_val2014_000000002434,"a laptop computer sitting on top of a white cabinet",2,"a laptop computer","Two laptops visible on top of the white cabinet; singular quantity mismatch."
COCO_val2014_000000002640,"a train on a bridge",0,NA,"Train traveling on an elevated bridge; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002822,"a stop sign in a field with a cloudy sky",0,NA,"Stop sign in grassy field under cloudy sky; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000002839,"a little girl with a pink bow on her head",0,NA,"Young child with a pink bow on her head; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003001,"a woman sitting at a table with a tray of doughs",1,"woman","No woman visible; image shows pastries/doughnuts on a table; object hallucination."
COCO_val2014_000000003067,"a cat is standing on a table next to a sandwich",0,NA,"Cat standing on a desk/table next to a sandwich; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003091,"a person is holding a fork and knife",1,"fork and knife","No person holding utensils; image shows a dessert on a plate with utensils resting nearby; object/action hallucination."
COCO_val2014_000000003093,"a banana in a bowl on a table",0,NA,"Banana placed inside a bowl on a table; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003192,"a pizza on a plate",0,NA,"Pizza clearly placed on a plate; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003326,"two people in a boat",0,NA,"Two people rowing in a small boat; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003580,"a man sitting on a couch",0,NA,"Man sitting on a couch holding a controller; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000003590,"a man walking in the rain",0,NA,"Man walking outside in the rain holding an umbrella; no hallucinated objects; no incorrect attributes or relations."
